ID,LinF9
CHEMBL1645466_gnina_4,-7.93952
CHEMBL1645466_gnina_5,-7.34793
CHEMBL1645466_gnina_6,-7.16539
CHEMBL1645466_gnina_7,-6.45684
CHEMBL1645466_gnina_8,-6.71164
CHEMBL1645466_gnina_9,-6.09772
CHEMBL1645466_gnina_10,-6.89856
CHEMBL166093_gnina_1,-7.67664
CHEMBL166093_gnina_2,-7.29366
CHEMBL166093_gnina_3,-6.28624
CHEMBL166093_gnina_4,-7.13181
CHEMBL166093_gnina_5,-7.40755
CHEMBL166093_gnina_6,-6.14822
CHEMBL166093_gnina_7,-7.32829
CHEMBL166093_gnina_8,-6.37712
CHEMBL166093_gnina_9,-7.20242
CHEMBL166093_gnina_10,-7.11704
CHEMBL1683968_gnina_1,-8.23446
CHEMBL1683968_gnina_2,-8.04027
CHEMBL1683968_gnina_3,-9.19008
CHEMBL1683968_gnina_4,-8.95705
CHEMBL1683968_gnina_5,-7.81195
CHEMBL1683968_gnina_6,-8.92146
CHEMBL1683968_gnina_7,-8.13364
CHEMBL1683968_gnina_8,-8.05405
CHEMBL1683968_gnina_9,-8.02644
CHEMBL1683968_gnina_10,-8.45605
CHEMBL176470_gnina_1,-7.75873
CHEMBL176470_gnina_2,-7.23296
CHEMBL176470_gnina_3,-7.51042
CHEMBL176470_gnina_4,-7.89170
CHEMBL176470_gnina_5,-6.88922
CHEMBL176470_gnina_6,-6.76132
CHEMBL176470_gnina_7,-7.07962
CHEMBL176470_gnina_8,-6.69419
CHEMBL176470_gnina_9,-6.27868
CHEMBL176470_gnina_10,-7.37287
CHEMBL1821886_gnina_1,-8.91454
CHEMBL1821886_gnina_2,-8.91096
CHEMBL1821886_gnina_3,-8.91858
CHEMBL1821886_gnina_4,-9.44852
CHEMBL1821886_gnina_5,-9.70986
CHEMBL1821886_gnina_6,-9.62937
CHEMBL1821886_gnina_7,-7.51988
CHEMBL1821886_gnina_8,-8.02679
CHEMBL1821886_gnina_9,-7.82422
CHEMBL1821886_gnina_10,-7.98697
CHEMBL1830130_gnina_1,-6.24402
CHEMBL1830130_gnina_2,-6.23477
CHEMBL1830130_gnina_3,-5.97664
CHEMBL1830130_gnina_4,-6.00554
CHEMBL1830130_gnina_5,-5.93924
CHEMBL1830130_gnina_6,-6.21641
CHEMBL1830130_gnina_7,-6.41854
CHEMBL1830130_gnina_8,-6.42090
CHEMBL1830130_gnina_9,-6.05106
CHEMBL1830130_gnina_10,-5.86867
CHEMBL1830277_gnina_1,-7.57038
CHEMBL1830277_gnina_2,-7.11828
CHEMBL1830277_gnina_3,-7.33507
CHEMBL1830277_gnina_4,-7.25476
CHEMBL1830277_gnina_5,-7.00343
CHEMBL1830277_gnina_6,-7.01603
CHEMBL1830277_gnina_7,-7.42238
CHEMBL1830277_gnina_8,-7.41248
CHEMBL1830277_gnina_9,-6.56662
CHEMBL1830277_gnina_10,-6.71461
CHEMBL1914664_gnina_1,-7.91267
CHEMBL1914664_gnina_2,-8.19809
CHEMBL1914664_gnina_3,-8.22934
CHEMBL1914664_gnina_4,-7.89801
CHEMBL1914664_gnina_5,-7.90327
CHEMBL1914664_gnina_6,-8.10610
CHEMBL1914664_gnina_7,-7.85304
CHEMBL1914664_gnina_8,-7.72880
CHEMBL1914664_gnina_9,-8.10763
CHEMBL1914664_gnina_10,-8.28669
CHEMBL1928301_gnina_1,-10.68895
CHEMBL1928301_gnina_2,-10.37453
CHEMBL1928301_gnina_3,-9.95602
CHEMBL1928301_gnina_4,-10.35845
CHEMBL1928301_gnina_5,-10.08038
CHEMBL1928301_gnina_6,-8.71760
CHEMBL1928301_gnina_7,-9.55621
CHEMBL1928301_gnina_8,-9.48753
