SCORCH,ID
0.01083,CHEMBL5198812_gnina_4
0.01482,CHEMBL5198812_gnina_5
0.00459,CHEMBL5198812_gnina_6
0.11004,CHEMBL5198812_gnina_7
0.02585,CHEMBL5198812_gnina_8
0.14963,CHEMBL5198812_gnina_9
0.00692,CHEMBL5198812_gnina_10
0.00014,CHEMBL5209100_gnina_1
0.00124,CHEMBL5209100_gnina_2
0.00037,CHEMBL5209100_gnina_3
0.00012,CHEMBL5209100_gnina_4
0.00799,CHEMBL5209100_gnina_5
0.00055,CHEMBL5209100_gnina_6
0.00336,CHEMBL5209100_gnina_7
0.00023,CHEMBL5209100_gnina_8
0.00165,CHEMBL5209100_gnina_9
0.00019,CHEMBL5209100_gnina_10
0.03131,CHEMBL521155_gnina_1
0.06126,CHEMBL521155_gnina_2
0.02658,CHEMBL521155_gnina_3
0.06879,CHEMBL521155_gnina_4
0.0523,CHEMBL521155_gnina_5
0.03893,CHEMBL521155_gnina_6
0.02908,CHEMBL521155_gnina_7
0.02077,CHEMBL521155_gnina_8
0.0174,CHEMBL521155_gnina_9
0.01472,CHEMBL521155_gnina_10
0.04417,CHEMBL540701_gnina_1
0.01307,CHEMBL540701_gnina_2
0.0072,CHEMBL540701_gnina_3
0.01089,CHEMBL540701_gnina_4
0.05739,CHEMBL540701_gnina_5
0.01321,CHEMBL540701_gnina_6
0.05856,CHEMBL540701_gnina_7
0.01463,CHEMBL540701_gnina_8
0.02044,CHEMBL540701_gnina_9
0.0403,CHEMBL540701_gnina_10
0.00797,CHEMBL55379_gnina_1
0.03645,CHEMBL55379_gnina_2
0.0274,CHEMBL55379_gnina_3
0.01418,CHEMBL55379_gnina_4
0.01029,CHEMBL55379_gnina_5
0.00571,CHEMBL55379_gnina_6
0.01715,CHEMBL55379_gnina_7
0.03491,CHEMBL55379_gnina_8
0.01073,CHEMBL55379_gnina_9
0.006,CHEMBL55379_gnina_10
0.08328,CHEMBL57347_gnina_1
0.00824,CHEMBL57347_gnina_2
0.03156,CHEMBL57347_gnina_3
0.03833,CHEMBL57347_gnina_4
0.01352,CHEMBL57347_gnina_5
