ID,Vinardo
CHEMBL5192038_gnina_4,-3.28826
CHEMBL5192038_gnina_5,-3.88260
CHEMBL5192038_gnina_6,-3.79200
CHEMBL5192038_gnina_7,-2.49585
CHEMBL5192038_gnina_8,-2.94689
CHEMBL5192038_gnina_9,-2.73035
CHEMBL5192038_gnina_10,-3.68153
CHEMBL5192318_gnina_1,-5.22423
CHEMBL5192318_gnina_2,-4.30898
CHEMBL5192318_gnina_3,-5.56794
CHEMBL5192318_gnina_4,-5.21919
CHEMBL5192318_gnina_5,-3.70646
CHEMBL5192318_gnina_6,-4.47063
CHEMBL5192318_gnina_7,-5.17571
CHEMBL5192318_gnina_8,-4.77260
CHEMBL5192318_gnina_9,-5.73627
CHEMBL5192318_gnina_10,-4.82182
CHEMBL5198812_gnina_1,-7.74906
CHEMBL5198812_gnina_2,-6.02516
CHEMBL5198812_gnina_3,-7.47748
CHEMBL5198812_gnina_4,-6.38990
CHEMBL5198812_gnina_5,-7.33864
CHEMBL5198812_gnina_6,-8.05606
CHEMBL5198812_gnina_7,-6.97757
CHEMBL5198812_gnina_8,-7.75840
CHEMBL5198812_gnina_9,-6.93152
CHEMBL5198812_gnina_10,-5.06598
CHEMBL5209100_gnina_1,-1.83120
CHEMBL5209100_gnina_2,-3.50874
CHEMBL5209100_gnina_3,-0.13465
CHEMBL5209100_gnina_4,-3.06721
CHEMBL5209100_gnina_5,-3.90668
CHEMBL5209100_gnina_6,0.09568
CHEMBL5209100_gnina_7,-4.94411
CHEMBL5209100_gnina_8,-2.77198
CHEMBL5209100_gnina_9,-3.41354
CHEMBL5209100_gnina_10,-3.75977
CHEMBL521155_gnina_1,-7.31033
CHEMBL521155_gnina_2,-7.00849
CHEMBL521155_gnina_3,-6.09589
CHEMBL521155_gnina_4,-7.50800
CHEMBL521155_gnina_5,-6.82280
CHEMBL521155_gnina_6,-7.17409
CHEMBL521155_gnina_7,-7.81204
CHEMBL521155_gnina_8,-7.20030
CHEMBL521155_gnina_9,-6.34914
CHEMBL521155_gnina_10,-6.26540
CHEMBL540701_gnina_1,-6.60110
CHEMBL540701_gnina_2,-8.76497
CHEMBL540701_gnina_3,-8.19578
CHEMBL540701_gnina_4,-7.54904
CHEMBL540701_gnina_5,-6.75045
CHEMBL540701_gnina_6,-8.49089
CHEMBL540701_gnina_7,-7.34129
CHEMBL540701_gnina_8,-7.13610
CHEMBL540701_gnina_9,-8.83922
CHEMBL540701_gnina_10,-7.77336
CHEMBL55379_gnina_1,-8.57938
CHEMBL55379_gnina_2,-7.75314
CHEMBL55379_gnina_3,-7.98054
CHEMBL55379_gnina_4,-8.36974
CHEMBL55379_gnina_5,-8.02974
CHEMBL55379_gnina_6,-8.09198
CHEMBL55379_gnina_7,-9.11383
CHEMBL55379_gnina_8,-8.94629
CHEMBL55379_gnina_9,-8.22097
CHEMBL55379_gnina_10,-8.98796
CHEMBL57347_gnina_1,-6.26267
CHEMBL57347_gnina_2,-6.54891
