ID,CNNscore,CNNaffinity,smina_affinity,RTMScore,SCORCH,HYDE,CHEMPLP,rfscore_v2,vina_hydrophobic,vina_intra_hydrophobic,id,docking_tool,true_value,activity_class
CHEMBL4435632_diffdock_9,-0.344710260805619,-0.788744646804576,-0.6668450229852134,-0.4232949467417873,0.07421287052680083,0.45153336978537423,0.024215125193466212,-0.1334338841897648,-0.11097752834239369,0.1587244888692096,CHEMBL4435632,diffdock,7.091515,0
CHEMBL4435632_diffdock_10,-0.18069792168235918,-0.3352710642858838,-0.5634173178974541,-0.3538887794254609,-0.0044232836737828195,0.42886917291978566,-0.012196617615491236,-0.05909061208973136,0.027756126633503304,0.15323696697508207,CHEMBL4435632,diffdock,7.091515,0
CHEMBL92174_diffdock_1,0.029931488422124144,-0.19765163947503933,-0.2611113481069786,-0.019128476890153064,-0.03673782829058516,-0.20888973347201337,0.034534568817485074,-0.18594252110818132,-0.23728380283001407,0.17744088849022924,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_2,0.03631087627258434,-0.20603380658355613,-0.2993145402381739,0.02402612223688241,0.04288127783750576,-0.03955903500274975,0.0328768876353694,-0.15877703643586857,-0.22744879909202553,0.17460725714516595,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_3,-0.05821728348077412,-0.29452770762293246,-0.4194692782256999,0.04841639806061641,0.05443096298571648,-0.20847368752982845,0.046195944820558214,-0.19836784737572996,-0.27854435941814126,0.18119825627852681,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_4,-0.14815845995276192,-0.38752683550853917,-0.6610430932971475,-0.08570624480934888,-0.01892182460451543,0.15681464970853384,0.03302418846048351,-0.23497151306665026,-0.2967952219885412,0.1817550310140989,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_5,-0.18664525410769459,-0.345201384836186,-0.7343555303662804,0.06082726309658733,-0.01941330056826908,0.15806278753508862,0.044508365949679315,-0.15043329810988867,-0.31237044270447356,0.18016559279898445,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_6,-0.26800681814606475,-0.44392605777305005,-0.9831448539055905,-0.05620840833209935,-0.023345108278298252,0.15792410555436032,0.0517682183221244,-0.22059943031880347,-0.3297943915037901,0.1789841015402149,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_7,-0.28904963956437524,-0.5272255067452294,-0.9204078495739829,-0.044305121860119694,0.026293964060820164,0.157785423573632,0.04445622729194057,-0.23347519738605554,-0.37882148657063097,0.1729382942547384,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_8,-0.291765239739411,-0.5379596020383653,-1.135860115559185,-0.09467426225802747,0.8939947780678852,-0.13081177832197616,0.037332919868898265,-0.2325242278324022,-0.3088626118182742,0.18213672838893452,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_9,-0.24631940123521334,-0.4920777181838789,-1.183631711130477,-0.0855664082619583,0.22521886039010902,0.2193602230170006,0.041262825641506844,-0.2711347274868062,-0.47897465476983747,0.1722951655349928,CHEMBL92174,diffdock,6.89279,0
CHEMBL92174_diffdock_10,-0.3216961098393614,-0.5287223636165309,-1.238515620397625,-0.0197271670597864,1.6849024727384427,0.14322381559715971,0.05791474627297406,-0.33117971672548396,-0.4390628164603725,0.17067752128484837,CHEMBL92174,diffdock,6.89279,0
CHEMBL485065_diffdock_1,0.2712043236727779,-0.29548845754659997,-0.2865763509272294,-0.4620836441630337,-0.11045922285363231,-0.26921639508882717,-0.42530141408838495,-0.28779541817318643,-0.05121626694171379,0.221494236756188,CHEMBL485065,diffdock,5.30103,0
CHEMBL485065_diffdock_2,0.29253545183566715,-0.3486737379767342,-0.3187417009125692,-0.3431169496553121,-0.05135923821225618,0.02409599415154345,-0.6091886272316058,-0.32732376278412656,-0.1365520249677162,0.33755161369241177,CHEMBL485065,diffdock,5.30103,0
