ID,ad4
CHEMBL154911_gnina_3,-35.56304
CHEMBL154911_gnina_4,-34.18374
CHEMBL154911_gnina_5,-35.90157
CHEMBL154911_gnina_6,-30.70782
CHEMBL154911_gnina_7,-36.19003
CHEMBL154911_gnina_8,-28.71239
CHEMBL154911_gnina_9,-30.07405
CHEMBL154911_gnina_10,-34.28308
CHEMBL1630114_gnina_1,-49.69871
CHEMBL1630114_gnina_2,-52.54488
CHEMBL1630114_gnina_3,-54.19404
CHEMBL1630114_gnina_4,-54.18243
CHEMBL1630114_gnina_5,-52.91483
CHEMBL1630114_gnina_6,-50.92443
CHEMBL1630114_gnina_7,-46.86193
CHEMBL1630114_gnina_8,-49.08982
CHEMBL1630114_gnina_9,-49.78134
CHEMBL1630114_gnina_10,-39.80587
CHEMBL1645466_gnina_1,-41.37791
CHEMBL1645466_gnina_2,-38.53933
CHEMBL1645466_gnina_3,-37.35674
CHEMBL1645466_gnina_4,-39.63988
CHEMBL1645466_gnina_5,-39.13190
CHEMBL1645466_gnina_6,-35.68610
CHEMBL1645466_gnina_7,-32.19433
CHEMBL1645466_gnina_8,-33.97068
CHEMBL1645466_gnina_9,-31.99075
CHEMBL1645466_gnina_10,-37.38453
CHEMBL166093_gnina_1,-38.64621
CHEMBL166093_gnina_2,-38.76743
CHEMBL166093_gnina_3,-33.79738
CHEMBL166093_gnina_4,-36.39152
CHEMBL166093_gnina_5,-37.70438
CHEMBL166093_gnina_6,-33.21459
CHEMBL166093_gnina_7,-37.18717
CHEMBL166093_gnina_8,-33.56105
CHEMBL166093_gnina_9,-39.29461
CHEMBL166093_gnina_10,-35.13791
CHEMBL1683968_gnina_1,-44.92208
CHEMBL1683968_gnina_2,-43.01638
CHEMBL1683968_gnina_3,-47.88553
CHEMBL1683968_gnina_4,-47.04149
CHEMBL1683968_gnina_5,-43.66465
CHEMBL1683968_gnina_6,-45.92745
CHEMBL1683968_gnina_7,-46.81104
CHEMBL1683968_gnina_8,-42.86446
CHEMBL1683968_gnina_9,-42.01852
CHEMBL1683968_gnina_10,-43.87120
CHEMBL176470_gnina_1,-39.57381
CHEMBL176470_gnina_2,-37.89719
CHEMBL176470_gnina_3,-34.51012
CHEMBL176470_gnina_4,-42.20250
CHEMBL176470_gnina_5,-34.46961
CHEMBL176470_gnina_6,-35.29556
CHEMBL176470_gnina_7,-36.74452
CHEMBL176470_gnina_8,-34.72488
CHEMBL176470_gnina_9,-34.70786
CHEMBL176470_gnina_10,-37.50359
CHEMBL1821886_gnina_1,-44.07412
CHEMBL1821886_gnina_2,-44.22075
CHEMBL1821886_gnina_3,-44.30221
CHEMBL1821886_gnina_4,-46.05038
CHEMBL1821886_gnina_5,-48.48620
CHEMBL1821886_gnina_6,-47.00558
CHEMBL1821886_gnina_7,-33.77807
CHEMBL1821886_gnina_8,-37.44740
CHEMBL1821886_gnina_9,-32.79284
CHEMBL1821886_gnina_10,-39.72615
CHEMBL1830130_gnina_1,-32.42963
CHEMBL1830130_gnina_2,-32.26553
CHEMBL1830130_gnina_3,-30.46487
CHEMBL1830130_gnina_4,-30.85992
CHEMBL1830130_gnina_5,-29.61302
CHEMBL1830130_gnina_6,-31.00973
CHEMBL1830130_gnina_7,-30.60500
CHEMBL1830130_gnina_8,-30.60818
CHEMBL1830130_gnina_9,-30.01788
CHEMBL1830130_gnina_10,-29.63630
CHEMBL1830277_gnina_1,-37.42027
CHEMBL1830277_gnina_2,-36.98965
CHEMBL1830277_gnina_3,-35.42790
CHEMBL1830277_gnina_4,-35.52197
CHEMBL1830277_gnina_5,-35.16607
CHEMBL1830277_gnina_6,-34.61419
CHEMBL1830277_gnina_7,-34.74454
CHEMBL1830277_gnina_8,-35.65689
CHEMBL1830277_gnina_9,-33.14264
CHEMBL1830277_gnina_10,-32.78299
CHEMBL1914664_gnina_1,-37.02257
CHEMBL1914664_gnina_2,-39.73027
CHEMBL1914664_gnina_3,-37.50708
CHEMBL1914664_gnina_4,-36.40744
CHEMBL1914664_gnina_5,-38.72077
CHEMBL1914664_gnina_6,-39.70959
CHEMBL1914664_gnina_7,-36.24895
CHEMBL1914664_gnina_8,-36.32385
CHEMBL1914664_gnina_9,-37.77039
CHEMBL1914664_gnina_10,-40.26605
CHEMBL1928301_gnina_1,-54.80245
CHEMBL1928301_gnina_2,-50.73771
CHEMBL1928301_gnina_3,-50.64883
CHEMBL1928301_gnina_4,-53.04872
CHEMBL1928301_gnina_5,-48.81303
CHEMBL1928301_gnina_6,-44.08301
CHEMBL1928301_gnina_7,-47.39853
CHEMBL1928301_gnina_8,-47.78582
CHEMBL1928301_gnina_9,-50.26371
CHEMBL1928301_gnina_10,-49.26439
CHEMBL1928944_gnina_1,-42.71566
CHEMBL1928944_gnina_2,-43.30999
CHEMBL1928944_gnina_3,-41.90169
CHEMBL1928944_gnina_4,-39.25039
CHEMBL1928944_gnina_5,-39.30096
CHEMBL1928944_gnina_6,-42.54035
CHEMBL1928944_gnina_7,-43.65619
CHEMBL1928944_gnina_8,-39.44307
CHEMBL1928944_gnina_9,-41.23726
CHEMBL1928944_gnina_10,-41.14654
CHEMBL1945649_gnina_1,-32.92429
CHEMBL1945649_gnina_2,-32.14078
CHEMBL1945649_gnina_3,-32.05119
CHEMBL1945649_gnina_4,-30.94902
CHEMBL1945649_gnina_5,-32.42823
CHEMBL1945649_gnina_6,-31.43110
CHEMBL1945649_gnina_7,-29.82872
CHEMBL1945649_gnina_8,-27.89246
CHEMBL1945649_gnina_9,-32.51946
CHEMBL1945649_gnina_10,-31.43199
CHEMBL1947127_gnina_1,-43.57092
CHEMBL1947127_gnina_2,-43.08497
CHEMBL1947127_gnina_3,-44.56519
CHEMBL1947127_gnina_4,-39.72639
CHEMBL1947127_gnina_5,-39.05354
CHEMBL1947127_gnina_6,-37.53312
CHEMBL1947127_gnina_7,-42.47079
CHEMBL1947127_gnina_8,-40.51836
CHEMBL1947127_gnina_9,-36.84371
CHEMBL1947127_gnina_10,-32.78544
CHEMBL2031296_gnina_1,-36.46446
CHEMBL2031296_gnina_2,-38.14881
CHEMBL2031296_gnina_3,-35.00201
CHEMBL2031296_gnina_4,-35.63702
CHEMBL2031296_gnina_5,-34.67311
CHEMBL2031296_gnina_6,-33.27588
CHEMBL2031296_gnina_7,-35.59137
CHEMBL2031296_gnina_8,-33.37600
CHEMBL2031296_gnina_9,-32.80813
CHEMBL2031296_gnina_10,-30.86084
CHEMBL203132_gnina_1,-33.66752
CHEMBL203132_gnina_2,-33.05138
CHEMBL203132_gnina_3,-34.39884
CHEMBL203132_gnina_4,-34.99879
CHEMBL203132_gnina_5,-28.46791
CHEMBL203132_gnina_6,-34.38368
CHEMBL203132_gnina_7,-35.25771
CHEMBL203132_gnina_8,-31.59860
CHEMBL203132_gnina_9,-24.62157
CHEMBL203132_gnina_10,-28.72341
CHEMBL2032376_gnina_1,-43.11936
CHEMBL2032376_gnina_2,-42.89542
CHEMBL2032376_gnina_3,-44.46353
CHEMBL2032376_gnina_4,-44.69866
CHEMBL2032376_gnina_5,-45.77678
CHEMBL2032376_gnina_6,-40.36276
CHEMBL2032376_gnina_7,-48.43885
CHEMBL2032376_gnina_8,-37.50634
CHEMBL2032376_gnina_9,-38.41553
CHEMBL2032376_gnina_10,-41.60215
CHEMBL203645_gnina_1,-38.54110
CHEMBL203645_gnina_2,-40.22159
CHEMBL203645_gnina_3,-39.12323
CHEMBL203645_gnina_4,-40.28627
CHEMBL203645_gnina_5,-40.78445
CHEMBL203645_gnina_6,-37.69278
CHEMBL203645_gnina_7,-33.89316
CHEMBL203645_gnina_8,-34.70605
CHEMBL203645_gnina_9,-39.47149
CHEMBL203645_gnina_10,-35.45672
CHEMBL2048793_gnina_1,-39.63696
CHEMBL2048793_gnina_2,-40.64370
CHEMBL2048793_gnina_3,-37.28376
CHEMBL2048793_gnina_4,-41.58620
CHEMBL2048793_gnina_5,-41.53801
CHEMBL2048793_gnina_6,-34.11662
