ID,CNNaffinity
CHEMBL176470_diffdock_7,5.9798669815
CHEMBL176470_diffdock_8,5.6589164734
CHEMBL176470_diffdock_9,5.9436903000
CHEMBL176470_diffdock_10,5.8231439590
CHEMBL1928301_diffdock_1,7.0452032089
CHEMBL1928301_diffdock_2,7.1773691177
CHEMBL1928301_diffdock_3,7.2285661697
CHEMBL1928301_diffdock_4,6.6804018021
CHEMBL1928301_diffdock_5,7.0599727631
CHEMBL1928301_diffdock_6,6.5385532379
CHEMBL1928301_diffdock_7,6.3486471176
CHEMBL1928301_diffdock_8,6.8288192749
CHEMBL1928301_diffdock_9,6.7325887680
CHEMBL1928301_diffdock_10,6.4040517807
CHEMBL1240553_diffdock_1,6.1964340210
CHEMBL1240553_diffdock_2,6.0245084763
CHEMBL1240553_diffdock_3,6.2542095184
CHEMBL1240553_diffdock_4,6.5012063980
CHEMBL1240553_diffdock_5,6.4138202667
CHEMBL1240553_diffdock_6,6.4732761383
CHEMBL1240553_diffdock_7,6.4961557388
CHEMBL1240553_diffdock_8,6.4734392166
CHEMBL1240553_diffdock_9,6.0945415497
CHEMBL1240553_diffdock_10,4.1472558975
CHEMBL4462965_diffdock_1,7.7553272247
CHEMBL4462965_diffdock_2,8.2786750793
CHEMBL4462965_diffdock_3,7.8364477158
CHEMBL4462965_diffdock_4,7.6466512680
CHEMBL4462965_diffdock_5,7.6230144501
CHEMBL4462965_diffdock_6,7.3081579208
CHEMBL4462965_diffdock_7,7.2306423187
CHEMBL4462965_diffdock_8,7.6133632660
CHEMBL4462965_diffdock_9,7.7559928894
CHEMBL4462965_diffdock_10,7.6480722427
CHEMBL166093_diffdock_1,5.5689086914
CHEMBL166093_diffdock_2,5.6938085556
CHEMBL166093_diffdock_3,5.6163654327
CHEMBL166093_diffdock_4,5.6673793793
CHEMBL166093_diffdock_5,5.4991302490
CHEMBL166093_diffdock_6,5.3557271957
CHEMBL166093_diffdock_7,5.4030151367
CHEMBL166093_diffdock_8,5.3206319809
CHEMBL166093_diffdock_9,4.9420728683
CHEMBL166093_diffdock_10,4.0371255875
CHEMBL329183_diffdock_1,5.7989110947
CHEMBL329183_diffdock_2,5.7711524963
CHEMBL329183_diffdock_3,5.7694520950
CHEMBL329183_diffdock_4,5.6487369537
CHEMBL329183_diffdock_5,5.7087965012
CHEMBL329183_diffdock_6,5.8866777420
CHEMBL329183_diffdock_7,5.8194255829
CHEMBL329183_diffdock_8,5.9620513916
CHEMBL329183_diffdock_9,5.7796001434
CHEMBL329183_diffdock_10,5.5661554337
CHEMBL1830277_diffdock_1,6.3230829239
CHEMBL1830277_diffdock_2,6.0425996780
CHEMBL1830277_diffdock_3,6.4863424301
CHEMBL1830277_diffdock_4,5.6887388229
CHEMBL1830277_diffdock_5,6.2955760956
CHEMBL1830277_diffdock_6,5.7444419861
CHEMBL1830277_diffdock_7,6.2064933777
CHEMBL1830277_diffdock_8,4.8695306778
CHEMBL1830277_diffdock_9,5.8110198975
CHEMBL1830277_diffdock_10,5.4135570526
CHEMBL1097189_diffdock_1,6.3012962341
CHEMBL1097189_diffdock_2,6.4510679245
CHEMBL1097189_diffdock_3,6.2927131653
CHEMBL1097189_diffdock_4,6.5792341232
CHEMBL1097189_diffdock_5,6.1254005432
CHEMBL1097189_diffdock_6,5.8103590012
CHEMBL1097189_diffdock_7,5.2582130432
CHEMBL1097189_diffdock_8,5.5568494797
CHEMBL1097189_diffdock_9,5.7772674561
CHEMBL1097189_diffdock_10,4.7942085266
CHEMBL2437460_diffdock_1,7.5059089661
CHEMBL2437460_diffdock_2,7.0497016907
CHEMBL2437460_diffdock_3,7.2181892395
CHEMBL2437460_diffdock_4,6.7586002350
CHEMBL2437460_diffdock_5,6.8109703064
CHEMBL2437460_diffdock_6,6.8375597000
CHEMBL2437460_diffdock_7,6.6319694519
CHEMBL2437460_diffdock_8,6.4943056107
CHEMBL2437460_diffdock_9,6.2661294937
CHEMBL2437460_diffdock_10,6.9815778732
CHEMBL1172773_diffdock_1,6.8449687958
CHEMBL1172773_diffdock_2,6.7592802048
CHEMBL1172773_diffdock_3,6.8299713135
CHEMBL1172773_diffdock_4,6.9653501511
CHEMBL1172773_diffdock_5,6.8116130829
CHEMBL1172773_diffdock_6,6.4213056564
CHEMBL1172773_diffdock_7,6.6173810959
CHEMBL1172773_diffdock_8,6.6776180267
CHEMBL1172773_diffdock_9,6.5175943375
CHEMBL1172773_diffdock_10,6.5816659927
CHEMBL512391_diffdock_1,6.4406099319
CHEMBL512391_diffdock_2,6.4853181839
CHEMBL512391_diffdock_3,6.4431791306
CHEMBL512391_diffdock_4,6.4941120148
CHEMBL512391_diffdock_5,6.2470493317
CHEMBL512391_diffdock_6,6.3418521881
CHEMBL512391_diffdock_7,6.0450372696
CHEMBL512391_diffdock_8,4.7771167755
CHEMBL512391_diffdock_9,4.8105468750
CHEMBL512391_diffdock_10,4.2743663788
CHEMBL3671487_diffdock_1,6.8213605881
CHEMBL3671487_diffdock_2,6.7549610138
CHEMBL3671487_diffdock_3,6.4583415985
CHEMBL3671487_diffdock_4,6.5091285706
CHEMBL3671487_diffdock_5,6.6248521805
CHEMBL3671487_diffdock_6,6.1975784302
CHEMBL3671487_diffdock_7,6.1125450134
CHEMBL3671487_diffdock_8,6.2452383041
CHEMBL3671487_diffdock_9,6.0756311417
CHEMBL3671487_diffdock_10,6.3241376877
CHEMBL3132872_diffdock_1,6.2873229980
CHEMBL3132872_diffdock_2,6.0342855453
CHEMBL3132872_diffdock_3,6.0240011215
CHEMBL3132872_diffdock_4,6.0266771317
CHEMBL3132872_diffdock_5,6.0420217514
CHEMBL3132872_diffdock_6,6.0066518784
CHEMBL3132872_diffdock_7,6.0368165970
CHEMBL3132872_diffdock_8,6.0088367462
CHEMBL3132872_diffdock_9,5.9145154953
CHEMBL3132872_diffdock_10,4.2948656082
CHEMBL3763790_diffdock_1,7.0649642944
CHEMBL3763790_diffdock_2,7.3040351868
CHEMBL3763790_diffdock_3,6.9994602203
CHEMBL3763790_diffdock_4,6.9274778366
CHEMBL3763790_diffdock_5,6.3654851913
CHEMBL3763790_diffdock_6,6.4870386124
CHEMBL3763790_diffdock_7,6.7066383362
CHEMBL3763790_diffdock_8,6.3098392487
CHEMBL3763790_diffdock_9,6.4440927505
CHEMBL3763790_diffdock_10,5.1592054367
CHEMBL249511_diffdock_1,6.3652200699
CHEMBL249511_diffdock_2,6.2026720047
CHEMBL249511_diffdock_3,6.3478631973
CHEMBL249511_diffdock_4,6.0946741104
CHEMBL249511_diffdock_5,6.0085296631
CHEMBL249511_diffdock_6,6.1447496414
CHEMBL249511_diffdock_7,6.3263187408
CHEMBL249511_diffdock_8,6.2479686737
CHEMBL249511_diffdock_9,5.9014062881
CHEMBL249511_diffdock_10,4.7725563049
CHEMBL3425665_diffdock_1,7.3235330582
CHEMBL3425665_diffdock_2,7.1054372787
