docking_tool,scoring_function,spearman_correlation,cost_per_pipeline,enrichment_factor,ranking_method
"['diffdock', 'flexx', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4588339691105907,435.52,1.9943019943019944,rank_by_rank
"['diffdock', 'gnina', 'plants']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4572626244165464,542.3,2.243589743589744,Zscore
"['diffdock', 'gnina', 'plants']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4572626244165464,541.09,2.243589743589744,Zscore
['diffdock'],"['CNNaffinity', 'HYDE', 'RTMScore']",0.4572140468059369,434.7,1.9155405405405408,rank_by_rank
"['diffdock', 'flexx', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4571241941691638,524.83,2.243589743589744,rank_by_rank
"['diffdock', 'smina']","['CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4571044546005656,528.37,2.492877492877493,rank_by_rank
['diffdock'],"['CNNaffinity', 'RTMScore']",0.4569760617693278,414.7,2.189189189189189,exponential_consensus_ranking
['diffdock'],"['CNNaffinity', 'CNNscore', 'RTMScore', 'rfscore_v2']",0.4569122090909249,424.67,1.641891891891892,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4568887273971649,526.48,2.243589743589744,Zscore
"['diffdock', 'plants']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4567979727156684,432.19,2.0995475113122173,rank_by_rank
"['diffdock', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4567613343316224,525.27,2.243589743589744,Zscore
"['diffdock', 'flexx', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4567040557153364,578.0,2.7421652421652425,rank_by_rank
"['diffdock', 'flexx', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4565974744500518,436.06,2.243589743589744,Zscore
"['diffdock', 'flexx', 'plants']","['CNNaffinity', 'RTMScore', 'smina_affinity', 'vina_hydrophobic']",0.4565974744500518,434.85,2.243589743589744,Zscore
['diffdock'],"['CNNaffinity', 'RTMScore', 'smina_affinity']",0.4565917241746356,417.8,2.462837837837838,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'RTMScore', 'smina_affinity']",0.4565917241746356,419.01,2.462837837837838,Zscore
"['diffdock', 'flexx', 'smina']","['RTMScore', 'SCORCH', 'rfscore_v2']",0.4564456571343493,568.0,2.243589743589744,rank_by_rank
"['diffdock', 'plants']","['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4562770204597856,453.4,1.574660633484163,Zscore
"['diffdock', 'plants']","['HYDE', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4562462142863064,452.19,1.574660633484163,Zscore
"['diffdock', 'gnina', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.456128442317559,637.89,2.243589743589744,Zscore
"['diffdock', 'smina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4561166618671938,577.77,2.492877492877493,rank_by_rank
"['diffdock', 'gnina']","['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4560783774702114,571.78,1.4957264957264955,rank_by_rank
"['diffdock', 'smina']","['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4559931233006824,565.88,1.745014245014245,rank_by_rank
"['diffdock', 'gnina', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.455880920230243,639.1,2.243589743589744,Zscore
"['diffdock', 'plants', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4556401954574464,535.19,1.9943019943019944,Zscore
"['diffdock', 'plants', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4554055867749736,536.4,1.9943019943019944,Zscore
"['diffdock', 'flexx', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4549206020104917,583.9,2.7421652421652425,rank_by_rank
"['diffdock', 'plants']","['CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4544012174884015,435.29,2.3619909502262444,Zscore
"['diffdock', 'plants']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4544012174884015,436.5,2.3619909502262444,Zscore
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4542024090921054,632.28,2.243589743589744,Zscore
"['diffdock', 'plants']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4541852926962091,435.29,1.83710407239819,rank_by_rank
"['diffdock', 'gnina']","['CNNaffinity', 'RTMScore', 'SCORCH']",0.4538912874064573,566.8,1.9943019943019944,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'RTMScore', 'SCORCH', 'rfscore_v2']",0.4538574387299448,671.68,1.745014245014245,rank_by_rank
"['diffdock', 'gnina', 'smina']","['RTMScore', 'rfscore_v2', 'vina_hydrophobic']",0.4537572558187493,631.0699999999999,2.243589743589744,Zscore
"['diffdock', 'flexx', 'gnina', 'smina']","['RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4536251019477893,637.5,1.9943019943019944,Zscore
"['diffdock', 'gnina', 'plants', 'smina']","['CNNaffinity', 'RTMScore', 'vina_hydrophobic']",0.4535712012815154,634.12,2.492877492877493,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4535679946025953,638.7099999999999,1.9943019943019944,Zscore
['diffdock'],"['CHEMPLP', 'CNNaffinity', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4535218090098358,442.78,2.189189189189189,Zscore
['diffdock'],"['CNNaffinity', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4535218090098358,441.57,2.189189189189189,Zscore
"['diffdock', 'gnina']","['CNNaffinity', 'CNNscore', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4534436375014744,583.67,2.492877492877493,rank_by_rank
"['diffdock', 'gnina', 'smina']","['CHEMPLP', 'CNNaffinity', 'RTMScore', 'SCORCH', 'rfscore_v2', 'vina_hydrophobic']",0.4534230379421701,681.68,1.745014245014245,rank_by_rank
"['diffdock', 'flexx', 'gnina', 'smina']","['CNNaffinity', 'RTMScore', 'SCORCH', 'vina_hydrophobic']",0.4532794408839324,676.93,1.745014245014245,rank_by_rank
['diffdock'],"['HYDE', 'RTMScore', 'rfscore_v2']",0.4530152344333821,438.47,2.189189189189189,Zscore
"['diffdock', 'flexx', 'smina']","['CHEMPLP', 'RTMScore', 'rfscore_v2', 'smina_affinity', 'vina_hydrophobic']",0.4528856344049151,532.91,1.9943019943019944,Zscore
['diffdock'],"['CHEMPLP', 'HYDE', 'RTMScore', 'rfscore_v2']",0.4528395356252773,439.68,2.189189189189189,Zscore
