ID,CNNscore
CHEMBL395591_diffdock_3,0.0387436450
CHEMBL395591_diffdock_4,0.0132363793
CHEMBL395591_diffdock_5,0.0009469552
CHEMBL395591_diffdock_6,0.1977290660
CHEMBL395591_diffdock_7,0.0032577484
CHEMBL395591_diffdock_8,0.0228341613
CHEMBL395591_diffdock_9,0.0001765481
CHEMBL395591_diffdock_10,0.0138813397
CHEMBL59812_diffdock_1,0.0065406654
CHEMBL59812_diffdock_2,0.0033414552
CHEMBL59812_diffdock_3,0.0049109347
CHEMBL59812_diffdock_4,0.0069214324
CHEMBL59812_diffdock_5,0.0022110676
CHEMBL59812_diffdock_6,0.0058261985
CHEMBL59812_diffdock_7,0.0011108323
CHEMBL59812_diffdock_8,0.0079310657
CHEMBL59812_diffdock_9,0.0004880441
CHEMBL59812_diffdock_10,0.0068369461
CHEMBL1242973_diffdock_1,0.0080570849
CHEMBL1242973_diffdock_2,0.0191019196
CHEMBL1242973_diffdock_3,0.0201568156
CHEMBL1242973_diffdock_4,0.0242867153
CHEMBL1242973_diffdock_5,0.0306870285
CHEMBL1242973_diffdock_6,0.0418343134
CHEMBL1242973_diffdock_7,0.0255389381
CHEMBL1242973_diffdock_8,0.0101816934
CHEMBL1242973_diffdock_9,0.0039010916
CHEMBL1242973_diffdock_10,0.0017853810
CHEMBL5077776_diffdock_1,0.0753072351
CHEMBL5077776_diffdock_2,0.0420044437
CHEMBL5077776_diffdock_3,0.0517684631
CHEMBL5077776_diffdock_4,0.0644834116
CHEMBL5077776_diffdock_5,0.0832522959
CHEMBL5077776_diffdock_6,0.0561260283
CHEMBL5077776_diffdock_7,0.0309006218
CHEMBL5077776_diffdock_8,0.0481789522
CHEMBL5077776_diffdock_9,0.0020693038
CHEMBL5077776_diffdock_10,0.8974467516
CHEMBL1630114_diffdock_1,0.1297866553
CHEMBL1630114_diffdock_2,0.3484063148
CHEMBL1630114_diffdock_3,0.4645134807
CHEMBL1630114_diffdock_4,0.2531512380
CHEMBL1630114_diffdock_5,0.3446580172
CHEMBL1630114_diffdock_6,0.2378323525
CHEMBL1630114_diffdock_7,0.2492080033
CHEMBL1630114_diffdock_8,0.0111690853
CHEMBL1630114_diffdock_9,0.1021385938
CHEMBL1630114_diffdock_10,0.2317687869
CHEMBL3237939_diffdock_1,0.0103156529
CHEMBL3237939_diffdock_2,0.0439248756
CHEMBL3237939_diffdock_3,0.0072305244
CHEMBL3237939_diffdock_4,0.0307782926
CHEMBL3237939_diffdock_5,0.0189252775
CHEMBL3237939_diffdock_6,0.0500054285
CHEMBL3237939_diffdock_7,0.0193963721
CHEMBL3237939_diffdock_8,0.0038414414
CHEMBL3237939_diffdock_9,0.0002573421
CHEMBL3237939_diffdock_10,0.0060449578
CHEMBL4068695_diffdock_1,0.0341674425
CHEMBL4068695_diffdock_2,0.0537929945
CHEMBL4068695_diffdock_3,0.3579563200
CHEMBL4068695_diffdock_4,0.0846707821
CHEMBL4068695_diffdock_5,0.0462199338
CHEMBL4068695_diffdock_6,0.0065733725
